1,1,53.05,60.29,123.79,58.949999999999996,1,1,1.0
1,2,311.6,1.35,400.81999999999994,111.16000000000001,1,1,1.0
1,3,93.47,0.0,226.53,62.82,1,1,0.0
1,4,0.84,11.45,16.0,32.0,1,1,1.0
2,1,32.84,60.29,123.78999999999999,58.949999999999996,1,1,1.0
2,2,310.76,1.35,400.82000000000005,111.16000000000001,1,1,1.0
2,3,93.19,0.0,226.53000000000003,62.82,1,1,0.0
2,4,0.84,11.45,10.06,32.0,1,1,1.0
3,1,15.16,55.24,123.78999999999999,58.949999999999996,1,1,1.0
3,2,309.07,1.35,400.83,111.16000000000001,1,1,1.0
3,3,92.91,0.0,226.53,62.82,1,1,0.0
3,4,0.84,11.45,1.6600000000000001,32.0,1,1,1.0
4,1,0.0,51.03,115.4,58.06999999999999,1,1,1.0
4,2,308.65,1.35,400.82000000000005,111.16000000000001,1,1,1.0
4,3,92.63,0.0,226.53000000000003,62.82,1,1,0.0
5,1,0.0,50.19,96.84,58.95,1,1,1.0
5,2,308.23,1.35,400.81999999999994,111.16000000000001,1,1,1.0
5,3,92.07,0.0,226.53000000000003,62.54,1,1,0.0
6,1,0.0,44.3,78.3,58.900000000000006,1,1,1.0
6,2,307.81,1.35,400.82,111.16000000000001,1,1,1.0
6,3,91.51,0.0,226.53000000000003,62.26,1,1,0.0
7,1,0.0,41.77,57.7,57.23,1,1,1.0
7,2,307.39,1.35,400.82000000000005,111.16000000000001,1,1,1.0
7,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
8,1,0.0,39.24,45.5,57.26,1,1,1.0
8,2,306.83,1.35,400.82,111.16000000000001,1,1,1.0
8,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
9,1,0.0,38.4,28.6,50.50000000000001,1,1,1.0
9,2,306.27,1.35,400.82000000000005,111.16000000000001,1,1,1.0
9,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
10,1,0.0,41.8,12.7,39.5,1,1,1.0
10,2,305.71,1.35,400.82,111.16000000000001,1,1,1.0
10,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
10,5,911.2,186.61,47.120000000000005,71.57999999999998,1,1,1.0
11,2,305.58,1.35,400.83,111.16000000000001,1,1,1.0
11,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
11,5,864.0,175.7,94.32000000000005,91.80000000000001,1,1,1.0
12,2,305.46,1.35,400.83,111.16000000000001,1,1,1.0
12,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
12,5,817.7,171.5,140.62,96.0,1,1,1.0
13,2,305.34,1.35,400.83,111.16000000000001,1,1,1.0
13,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
13,5,775.6,158.0,182.72000000000003,109.5,1,1,1.0
14,2,305.22,1.35,400.8299999999999,111.16000000000001,1,1,1.0
14,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
14,5,735.2,150.4,223.12,120.49999999999997,1,1,1.0
14,6,0.0,176.51,18.53,52.21000000000001,1,1,1.0
15,2,305.1,1.35,400.8299999999999,111.16000000000001,1,1,1.0
15,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
15,5,698.1,144.5,261.9,118.80000000000001,1,1,1.0
15,6,0.0,166.4,34.5,72.4,1,1,1.0
16,2,304.98,1.35,400.81999999999994,111.16000000000001,1,1,1.0
16,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
16,5,656.8,134.4,267.83000000000004,115.43,1,1,1.0
16,6,0.0,166.4,51.3,87.6,1,1,1.0
17,2,304.86,1.35,400.81999999999994,111.16000000000001,1,1,1.0
17,3,90.95,0.0,226.52000000000004,61.98,1,1,0.0
17,5,617.22,124.3,267.8299999999999,115.42,1,1,1.0
17,6,0.0,166.4,74.0,102.79999999999998,1,1,1.0
18,2,304.3,1.35,400.82,111.16000000000001,1,1,1.0
